ID,Customer_Name,Age,Income,Status,SignUp_Date,Score
1,User_1,56.0,65861.35263293564,Active,2020-01-01,5.708685608931486
2,User_2,69.0,50770.41289219453,Inactive,2020-01-02,
3,User_3,46.0,63086.7073649068,Active,2020-01-03,93.66056922949615
4,User_4,32.0,65992.97816146608,Active,2020-01-04,3.9343540668509647
5,User_5,60.0,35614.87855359832,,2020-01-05,12.21099140100268
6,User_6,25.0,,Pending,2020-01-06,45.21990282834353
7,User_7,78.0,63576.82939934839,Active,2020-01-07,93.38750175279048
8,User_8,38.0,40941.434412732066,Pending,2020-01-08,31.61561049767505
9,User_9,56.0,54566.73679806279,Active,2020-01-09,50.723480868839246
10,User_10,,,Pending,2020-01-10,4.15728590503921
ID_STR,User_11,36.0,50358.97721698756,Pending,2020-01-11,14.834320096208886
ID_STR,User_12,40.0,63078.709832185894,Active,2020-01-12,98.66301229588468
ID_STR,User_13,28.0,71560.34492500291,Active,2020-01-13,96.51186964360456
ID_STR,User_14,28.0,50109.595591109486,Active,2020-01-14,0.49399809344096157
ID_STR,User_15,41.0,,Inactive,2020-01-15,95.18117854232389
ID_STR,User_16,70.0,64823.039157561674,Inactive,2020-01-16,63.91199378155004
ID_STR,User_17,53.0,53484.44237264607,Active,2020-01-17,86.79182945200222
ID_STR,User_18,,,Active,2020-01-18,45.47398556338591
ID_STR,User_19,41.0,32711.519425099774,Pending,2020-01-19,51.55960285792502
ID_STR,User_20,20.0,27488.47410189239,,2020-01-20,
ID_STR,User_21,39.0,52475.341971640075,Inactive,2020-01-21,66.68642575461044
22,User_22,70.0,37161.066232559475,Active,2020-01-22,13.96512547563129
23,User_23,19.0,49405.45786940571,Active,2020-01-23,2.9973589872677953
24,User_24,41.0,41980.05887224904,Active,2020-01-24,30.79299415911909
25,User_25,61.0,23172.55242529255,,2020-01-25,70.46807627366466
26,User_26,47.0,55359.56812904951,Active,2020-01-26,20.185345212294838
27,User_27,55.0,,Inactive,2020-01-27,67.34324333249174
28,User_28,19.0,51202.98068811222,Active,2020-01-28,96.99120461072704
29,User_29,,,Inactive,2020-01-29,9.39007157894184
30,User_30,38.0,44977.74128907899,Inactive,2020-01-30,67.26021182251263
31,User_31,50.0,73405.70211699318,Pending,2020-01-31,44.375021930457116
32,User_32,29.0,,Active,2020-02-01,86.81422543775054
33,User_33,75.0,,Active,2020-02-02,17.71497894473859
34,User_34,39.0,30936.922896859403,Active,2020-02-03,69.26259522261645
35,User_35,78.0,85835.53936088693,,2020-02-04,
36,User_36,61.0,77651.206374808,Pending,2020-02-05,94.46142194740233
37,User_37,,70451.53236427557,Inactive,2020-02-06,68.32480282896458
38,User_38,66.0,62431.489664073124,Inactive,2020-02-07,49.71747640084273
39,User_39,44.0,50227.14917389797,Inactive,2020-02-08,61.78472402012139
40,User_40,76.0,56631.110253000974,Active,2020-02-09,86.89049844787182
41,User_41,59.0,65720.29615992428,,2020-02-10,57.060974663882966
42,User_42,45.0,40571.453787864404,Active,2020-02-11,
43,User_43,77.0,43332.51883671226,Active,2020-02-12,93.09486955069778
44,User_44,33.0,24963.014613642023,Inactive,2020-02-13,68.95267510315611
45,User_45,32.0,38422.71383364867,Active,2020-02-14,67.65133857772466
46,User_46,79.0,74919.52595912231,Active,2020-02-15,21.567515239771716
47,User_47,79.0,44986.293632744484,Pending,2020-02-16,65.88854702326572
48,User_48,64.0,45232.29640234125,Active,2020-02-17,39.386440565415846
49,User_49,79.0,54766.50548655678,Inactive,2020-02-18,65.12329770414921
50,User_50,68.0,,Active,2020-02-19,10.659303030799073
51,User_51,61.0,64180.72535131351,Active,2020-02-20,65.7845304603036
52,User_52,72.0,68996.10283059312,Active,2020-02-21,99.94137257706666
53,User_53,69.0,,Active,2020-02-22,4.821203886055603
54,User_54,,74770.26479719236,Pending,2020-02-23,97.71741842213173
55,User_55,20.0,,Active,2020-02-24,40.690796072287064
56,User_56,54.0,77655.73696627769,Inactive,2020-02-25,87.07534503372591
57,User_57,68.0,39038.8789515552,Active,2020-02-26,78.23854840582734
58,User_58,24.0,,Inactive,2020-02-27,56.70162609866678
59,User_59,38.0,46439.120581899966,,2020-02-28,73.84492092513266
60,User_60,26.0,78080.08520708456,Pending,2020-02-29,87.8515561301348
61,User_61,56.0,49708.36788650678,Active,2020-03-01,40.4140321651033
62,User_62,35.0,36011.12515158378,Active,2020-03-02,32.70331615632387
63,User_63,21.0,30575.862882802103,Active,2020-03-03,66.75933855635847
64,User_64,,48423.2224288038,Inactive,2020-03-04,80.78459419412586
65,User_65,77.0,20075.576426635263,Active,2020-03-05,76.22851347766158
66,User_66,31.0,30497.107376098404,Active,2020-03-06,79.78136488586345
67,User_67,67.0,73146.01477788626,Inactive,2020-03-07,43.5583314812933
68,User_68,75.0,69848.95710726855,Active,2020-03-08,81.78342161750216
69,User_69,26.0,48073.81780190438,Pending,2020-03-09,12.020905537060845
70,User_70,43.0,43015.0284311818,Active,2020-03-10,54.448909796084955
71,User_71,70.0,50877.63353460266,Active,2020-03-11,0.575866049812157
72,User_72,19.0,85219.95392675484,Pending,2020-03-12,32.45858299002703
73,User_73,37.0,56074.63263155788,Active,2020-03-13,
74,User_74,45.0,,Inactive,2020-03-14,39.61726916092554
75,User_75,64.0,46963.13711252673,Active,2020-03-15,69.54672066898621
76,User_76,77.0,50913.449106757405,Active,2020-03-16,38.85581012703457
77,User_77,24.0,59707.440451805654,Pending,2020-03-17,
78,User_78,61.0,51891.42241736044,Pending,2020-03-18,23.754413087432745
79,User_79,78.0,,Inactive,2020-03-19,37.325179162934006
80,User_80,25.0,,Active,2020-03-20,22.726962726315147
81,User_81,64.0,40772.99483343004,Inactive,2020-03-21,7.319592376844364
82,User_82,52.0,81669.76462424378,Active,2020-03-22,60.34485933813779
83,User_83,31.0,60302.72769148956,Active,2020-03-23,66.82127985550163
84,User_84,34.0,51064.58623459619,,2020-03-24,61.94903460096145
85,User_85,53.0,56589.907101551515,Active,2020-03-25,46.34940438005724
86,User_86,67.0,,,2020-03-26,37.978578017922985
87,User_87,57.0,42703.50850921459,Active,2020-03-27,86.33336495718252
88,User_88,21.0,,Active,2020-03-28,51.908178513621806
89,User_89,19.0,,Inactive,2020-03-29,47.9181877629731
90,User_90,79.0,43032.05377032548,Pending,2020-03-30,2.5642065806435688
91,User_91,23.0,40666.442526405815,Pending,2020-03-31,34.12478276261564
92,User_92,71.0,44667.670386254606,Pending,2020-04-01,38.019561878585705
93,User_93,59.0,64280.16640770042,Inactive,2020-04-02,39.88227808969005
94,User_94,21.0,71788.25371193557,Inactive,2020-04-03,58.017236922733225
95,User_95,,55430.20867913706,Pending,2020-04-04,53.360254672687844
96,User_96,,58719.71201053586,Active,2020-04-05,60.79050927934446
97,User_97,35.0,,Active,2020-04-06,
98,User_98,43.0,63151.319749284885,Active,2020-04-07,81.29857387160935
99,User_99,61.0,58276.055156976116,,2020-04-08,71.81230762264944
100,User_100,51.0,39348.08063108774,,2020-04-09,95.55236959549347
101,User_101,27.0,23184.925821023273,Active,2020-04-10,1.823258267636163
102,User_102,79.0,31691.448435772185,Pending,2020-04-11,19.57779856835461
103,User_103,53.0,39961.959077281805,,2020-04-12,0.756287497814212
104,User_104,31.0,67429.05976620162,Active,2020-04-13,64.7474714154603
105,User_105,48.0,73292.89663758989,Inactive,2020-04-14,89.8030548949987
